Time_Step,Pressure,Average_Filling,Filling_Rate,Pressure_Derivative,MA_Filling,MA_Filling_Rate
59,0.04916707639230327,0.736214605067064,0.0,0.0008333402778356522,0.7362146050670642,0.0
60,0.050000416670138915,0.736214605067064,0.0,0.0008333402778356452,0.7362146050670642,0.0
61,0.05083375694797457,0.736214605067064,0.0,0.0008333402778356522,0.7362146050670642,0.0
62,0.05166709722581021,0.736214605067064,0.0,0.0008333402778356452,0.7362146050670642,0.0
63,0.052500437503645865,0.736214605067064,0.0,0.0008333402778356522,0.7362146050670642,0.0
64,0.05333377778148151,0.736214605067064,0.0,0.0008333402778356452,0.7362146050670642,0.0
65,0.054167118059317156,0.736214605067064,0.0,0.0008333402778356452,0.7362146050670642,0.0
66,0.05500045833715281,0.736214605067064,0.0,0.0008333402778356522,0.7362146050670642,0.0
67,0.05583379861498845,0.736214605067064,0.0,0.0008333402778356452,0.7362146050670642,0.0
68,0.056667138892824105,0.736214605067064,0.0,0.0008333402778356522,0.7362146050670642,0.0
69,0.05750047917065975,0.736214605067064,0.0,0.0008333402778356452,0.7362146050670642,0.0
